Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 5592878654489907712,111.0085794,-31.9106399,9.013,0.070,0.666,2.1312,14.2582,19.23,12.98,2.43,2.653,A2.1,nan,nan,1.323,nan,Gaia DR3
Gaia DR3 5592827939514357888,111.2240928,-31.9866211,15.411,1.904,0.552,2.1280,14.2912,19.17,nan,nan,2.622,M0.3,nan,nan,1.045,nan,None
Gaia DR3 5592890302441260672,110.9184819,-31.8808575,16.057,2.387,0.355,2.1359,14.3363,19.25,nan,nan,2.655,M2.7,nan,nan,1.139,nan,None
Gaia DR3 5602635200974098688,107.7233930,-34.5207037,16.924,2.510,4.174,2.1099,14.3443,19.49,nan,nan,2.661,M3.1,nan,nan,1.076,nan,None
Gaia DR3 5592852575447289856,110.8139553,-32.0466848,8.241,-0.141,0.464,1.9518,14.3508,19.25,nan,nan,2.595,B5.7,nan,nan,0.981,nan,None
Gaia DR3 5591191728770203008,109.6234020,-33.2494011,15.692,1.998,2.579,0.8127,14.3607,19.32,nan,nan,2.547,M0.7,nan,nan,1.085,nan,None
Gaia DR3 5602739899390096896,107.7233684,-33.8346602,19.542,2.856,3.119,2.0334,14.3819,19.61,nan,nan,2.674,M3.8,nan,nan,1.494,nan,None
Gaia DR3 5592878036014593408,111.0295331,-31.8915283,9.355,-0.026,0.714,2.1551,14.3961,19.23,15.34,3.11,2.652,A0.3,nan,nan,1.184,nan,Gaia DR3
Gaia DR3 5591300855300593408,112.4547226,-34.9968915,14.366,1.338,0.882,2.1684,14.4383,18.44,17.09,3.37,2.650,K4.2,nan,nan,0.957,nan,Gaia DR3
Gaia DR3 5592808663701148928,111.3320710,-32.2082948,12.160,0.734,0.645,1.9712,14.4393,19.11,20.15,2.47,2.682,F9.3,nan,nan,0.829,nan,Gaia DR3
Gaia DR3 5592358207527679872,111.2142229,-33.9242582,16.459,2.394,1.169,0.8661,14.4955,18.88,nan,nan,2.733,M2.7,nan,nan,1.004,nan,None
Gaia DR3 5591191728770204928,109.6222314,-33.2540698,17.135,2.942,1.949,0.8094,14.5048,19.32,nan,nan,2.546,M4.0,nan,nan,0.975,nan,None
Gaia DR3 5603145000704927232,107.9825382,-33.2506332,16.801,2.143,4.742,1.9424,14.5269,19.65,nan,nan,2.592,M1.3,nan,nan,1.793,nan,None
Gaia DR3 5592848108681706752,110.9446343,-32.1173926,13.338,1.045,0.218,1.9181,14.5386,19.21,18.10,4.23,2.590,K1.6,nan,nan,0.977,nan,Gaia DR3
Gaia DR3 5589883958468025600,110.0128164,-35.9042422,18.423,3.255,1.275,1.9861,14.5477,18.80,nan,nan,2.682,M4.7,nan,nan,0.980,nan,None
Gaia DR3 5590334002320643968,108.7174089,-35.5019329,17.763,2.942,4.206,1.9803,14.5570,19.13,nan,nan,2.683,M4.0,nan,nan,1.071,nan,None
Gaia DR3 5592841404232051712,110.8556098,-32.2308565,19.222,2.976,0.705,1.7862,14.5781,19.21,nan,nan,2.580,M4.1,nan,nan,1.045,nan,None
Gaia DR3 5592845703499906560,110.7611410,-32.1569906,16.521,2.438,0.215,1.8335,14.5789,19.24,nan,nan,2.583,M2.8,nan,nan,1.090,nan,None
Gaia DR3 5604893189842644992,110.2070560,-31.7329156,16.682,2.469,0.256,2.1896,14.5887,19.43,nan,nan,2.650,M2.9,nan,nan,1.000,nan,None
Gaia DR3 5592850303400116864,111.0266654,-32.0268832,8.718,-0.001,0.323,2.0270,14.6187,19.21,nan,nan,2.679,A0.8,nan,nan,1.057,nan,None
Gaia DR3 5592828283111691648,111.2699706,-31.9579052,17.105,2.729,0.267,2.1703,14.7212,19.16,nan,nan,2.661,M3.6,nan,nan,1.088,nan,None
Gaia DR3 5590727077726556672,109.4051894,-35.2276591,18.255,3.077,4.445,1.4494,14.7336,19.04,nan,nan,2.562,M4.3,nan,nan,1.015,nan,None
Gaia DR3 5591250032949220608,112.4043569,-35.1797377,19.964,2.931,3.473,2.2284,14.7548,18.42,nan,nan,2.642,M4.0,nan,nan,1.070,nan,None
Gaia DR3 5592594465092059008,111.8523460,-32.6346631,17.881,2.883,2.196,1.9066,14.8445,18.94,nan,nan,2.694,M3.9,nan,nan,0.991,nan,None
Gaia DR3 5592863708002601216,110.5822325,-31.9404372,16.458,2.374,0.190,2.0118,14.9175,19.32,nan,nan,2.686,M2.6,nan,nan,1.063,nan,None
Gaia DR3 5592602917587505280,112.1248445,-32.4264649,17.243,2.752,0.753,2.2166,14.9317,18.91,nan,nan,2.658,M3.6,nan,nan,1.061,nan,None
Gaia DR3 5602755395636604928,107.4717019,-33.7251404,18.462,2.923,4.459,2.2506,14.9582,19.68,nan,nan,2.648,M3.9,nan,nan,1.001,nan,None
Gaia DR3 5590624754427883008,108.3782040,-34.7376505,16.966,2.950,3.394,1.6897,14.9756,19.33,nan,nan,2.570,M4.0,nan,nan,1.105,nan,None
Gaia DR3 5592834360484355584,111.3292172,-31.8983887,14.777,1.634,0.387,2.2456,14.9959,19.16,-47.61,6.26,2.625,K5.6,nan,nan,1.049,nan,Gaia DR3
Gaia DR3 5590712925815505152,109.9393846,-34.9115188,11.325,0.592,1.942,1.0074,15.0188,18.99,16.92,1.31,2.547,F5.1,nan,nan,0.912,nan,Gaia DR3
Gaia DR3 5592848452278872832,111.0131226,-32.1589429,8.342,-0.000,1.805,1.8996,15.0236,19.19,19.90,1.82,2.696,A0.8,nan,nan,1.338,nan,Gaia DR3
Gaia DR3 5603053638167620096,108.5473894,-33.8280472,10.742,0.383,2.374,1.3508,15.0237,19.45,16.15,1.52,2.556,F0.0,nan,nan,1.129,nan,Gaia DR3
Gaia DR3 5604885527620855296,110.4911224,-31.7017381,16.354,2.357,0.318,2.2369,15.0256,19.37,nan,nan,2.657,M2.5,nan,nan,1.041,nan,None
Gaia DR3 5604807801589674624,109.2902424,-32.2129898,16.661,2.922,2.921,1.8617,15.0337,19.55,nan,nan,2.699,M3.9,nan,nan,3.012,nan,None
Gaia DR3 5592838075638030592,110.7859506,-32.3745126,16.342,2.315,0.724,1.6313,15.0355,19.21,nan,nan,2.567,M2.4,nan,nan,0.979,nan,None
Gaia DR3 5592828111313001472,111.2768588,-31.9734858,11.142,0.538,0.395,2.1587,15.1488,19.16,17.66,1.77,2.604,F3.7,nan,nan,1.045,nan,Gaia DR3
