target,gaia_dr3_id,notes
K2-176,4.98425e+16,none
WASP-98,4.859136199796131e+18,none
K2-179,6.579708220629222e+16,none
K2-80,3.872339507828826e+16,none
K2-80,3.872339507828826e+16,none
K2-80,3.872339507828826e+16,none
K2-90,6.533119851395738e+16,none
K2-90,6.533119851395738e+16,none
TOI-5340,6.531511815652032e+16,none
K2-85,4.978468821197414e+16,none
K2-111,5.300666959926733e+16,none
K2-83,4.013953169537933e+16,none
K2-83,4.013953169537933e+16,none
TOI-858 B,4.683737294569922e+18,none
K2-173,3.940426765378662e+16,none
WASP-140,5.094154336332482e+18,none
TOI-6383 A,4.7393401173304986e+17,none
TOI-4602,1.6925604114020685e+17,none
HD 25463,3.3017710252239503e+18,none
HD 25463,3.3017710252239503e+18,none
K2-174,4.621766633314842e+16,none
HATS-57,5.0944061932144e+18,none
HATS-75,5.082914338199587e+18,none
V1298 Tau,5.188633596869248e+16,none
V1298 Tau,5.188633596869248e+16,none
V1298 Tau,5.188633596869248e+16,none
V1298 Tau,5.188633596869248e+16,none
TOI-2714,5.098036746249924e+18,none
HATS-61,4.890849134501996e+18,none
TOI-2373,5.097529733950581e+18,none
TOI-954,4.89087470244396e+18,"notes:
tyc 6459-1202-2 = tyc 6459-1202-1; not a double star.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links (may be more than one) from that object to his"
TOI-2580,4.904108119489068e+17,none
WASP-120,4.837286842168217e+18,none
K2-29,1.5005478854573542e+17,none
TOI-451,4.844691297067064e+18,none
TOI-451,4.844691297067064e+18,none
TOI-451,4.844691297067064e+18,none
K2-91,1.498582164828581e+17,none
TOI-5344,5.235953828508173e+16,none
K2-25,3.3118045155027886e+18,none
WASP-126,4.666498154837086e+18,none
WASP-78,5.089851638095504e+18,"notes:
substellar companion
wasp-78b
detected, see also
wasp-78
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links ("
IRAS 04125+2902,1.6480023590636698e+17,none
LP 890-9,4.886243456388511e+18,none
LP 890-9,4.886243456388511e+18,none
TOI-444,4.895489043507741e+18,none
LP 714-47,3.189306030970782e+18,none
HD 28109,4.668163021600296e+18,none
HD 28109,4.668163021600296e+18,none
HD 28109,4.668163021600296e+18,none
TOI-1696,2.7026064960214976e+17,none
XO-3,4.70650560779278e+17,"notes:
substellar companion
xo 3b
detected, see
xo-3
in the
extrasolar planets encyclopaedia
.
has a g0v-m2.5v companion candidate (
2013mnras.428..182b
).
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked,"
K2-155,1.4533392799655898e+17,none
K2-155,1.4533392799655898e+17,none
K2-155,1.4533392799655898e+17,none
TOI-1683,1.5245141465625856e+17,none
K2-87,4.790850905730112e+16,none
HAT-P-15,1.7949826682904166e+17,"notes:
substellar companion
hat-p-15b
detected, see also
hat-p-15
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links"
