GaiaDR3                               RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate                               RVsrc    PMRApred   PMDecpred        PMRA     PMRAerr       PMDec    PMDecerr
Gaia DR3 5592931705923685888 112.2094948 -32.4110231 20.184  2.606       1.396   2.2797  27.1337    18.89      nan      nan    2.806  nan      nan    nan   1.068     nan                                None      -8.971       4.937      -8.301       0.490       4.455       0.472
Gaia DR3 5588898796049031936 114.9422063 -33.7201226 18.770  2.918       1.151   3.9691  27.1718    18.07      nan      nan    2.693  nan      nan    nan   1.017     nan                                None      -9.153       4.747      -8.674       0.153       4.303       0.167
Gaia DR3 5603365620293191936 107.8605636 -32.8697348 18.086  2.738       2.892   2.1969  27.1823    19.74      nan      nan    2.809  nan      nan    nan   1.105     nan                                None      -8.038       5.382      -6.711       0.104       6.464       0.117
Gaia DR3 5605399446231647872 111.0465255 -30.6229772 17.586  2.897       1.461   3.3814  27.1982    19.40      nan      nan    2.537  nan      nan    nan   1.026     nan                                None      -7.890       4.230      -8.662       0.090       4.110       0.098
Gaia DR3 5586395555970249088 112.7568521 -36.9824662 15.890  1.209       0.603   3.7149  27.2316    18.05      nan      nan    2.563  nan      nan    nan  11.580     nan                                None      -8.299       5.261      -8.022       0.418       5.432       0.538
Gaia DR3 5592833054813786496 111.3704906 -31.9859153 18.566  3.061       1.175   2.1825  27.2517    19.14      nan      nan    2.810  nan      nan    nan   1.030     nan                                None      -8.806       4.930      -8.216       0.140       4.562       0.154
Gaia DR3 5588000671152214784 114.3897856 -36.1734251 17.956  3.014       1.465   4.1224  27.2694    17.82      nan      nan    2.640  nan      nan    nan   1.000     nan                                None      -8.869       5.131      -9.609       0.094       4.789       0.099
Gaia DR3 5590028235011069184 110.5998350 -35.1682257 17.473  3.099       1.473   1.2951  27.3000    18.81      nan      nan    2.831  nan      nan    nan   1.051     nan                                None      -8.705       5.661      -9.453       0.071       5.199       0.082
Gaia DR3 5586360852634370304 113.4627503 -36.9472603 13.205  0.958       0.781   4.0424  27.3197    17.90      nan      nan    2.683  nan      nan    nan   0.945     nan                                None      -8.829       5.437      -8.613       0.011       5.052       0.011
Gaia DR3 5565229579175347584 108.9123969 -37.9213465 18.811    nan       1.955   4.1266  27.3231    18.66      nan      nan    2.652  nan      nan    nan   1.286     nan                                None      -7.810       5.948      -8.895       0.352       5.817       0.328
Gaia DR3 5605247713624359680 109.1181223 -30.6096269 15.713  2.034       2.902   3.4300  27.3591    19.82      nan      nan    2.539  nan      nan    nan   1.019     nan                                None      -7.517       4.362      -9.010       0.028       3.934       0.036
Gaia DR3 5606055889020739584 109.1885720 -29.9690232 19.293  3.361       0.501   4.0401  27.3715    19.89      nan      nan    2.602  nan      nan    nan   0.961     nan                                None      -7.719       4.344      -7.994       0.242       4.338       0.259
Gaia DR3 5588001392700412672 114.4673936 -36.0933826 19.309  3.112       1.683   4.1346  27.4258    17.82      nan      nan    2.658  nan      nan    nan   1.039     nan                                None      -8.944       5.145      -8.073       0.224       4.784       0.242
Gaia DR3 5588093717322951808 114.5442556 -35.4642487 14.153  1.310       1.567   3.9123  27.4345    17.90      nan      nan    2.708  nan      nan    nan   1.894     nan                                None      -9.127       5.122      -9.633       0.028       4.385       0.031
Gaia DR3 5588363887944597120 113.5756227 -34.7700691 17.600  2.815       0.785   2.9363  27.4359    18.23      nan      nan    2.782  nan      nan    nan   1.048     nan                                None      -9.180       5.225      -8.903       0.087       4.857       0.082
Gaia DR3 5605581381033589376 110.4297510 -30.4501105 17.131    nan       2.684   3.4791  27.4804    19.56      nan      nan    2.750  nan      nan    nan   1.790     nan                                None      -8.423       4.597      -8.555       0.187       6.148       0.165
Gaia DR3 5588247885165252224 113.0092970 -35.3489735 17.929  3.246       1.678   2.7368  27.4939    18.26      nan      nan    2.792  nan      nan    nan   1.029     nan                                None      -9.095       5.404      -8.397       0.096       4.705       0.112
Gaia DR3 5586415480320781696 113.3251020 -36.6950554 18.532  2.913       1.854   3.7831  27.5469    17.97      nan      nan    2.725  nan      nan    nan   1.101     nan                                None      -8.941       5.490      -8.050       0.145       4.907       0.159
Gaia DR3 5593127723928260096 113.0328079 -31.5373478 17.506  3.215       1.582   3.3888  27.5635    18.83      nan      nan    2.758  nan      nan    nan   1.025     nan                                None      -8.989       4.618      -9.908       0.069       4.597       0.082
Gaia DR3 5592416511704358528 110.7118195 -33.7857491 18.499  3.197       1.507   0.4699  27.5838    19.01      nan      nan    2.842  nan      nan    nan   0.997     nan                                None      -8.765       5.401      -7.994       0.140       4.930       0.163
Gaia DR3 5592840618258592640 110.8807504 -32.2376782 17.418  2.901       0.628   1.7867  27.6754    19.21      nan      nan    2.475  nan      nan    nan   0.954     nan                                None      -7.663       4.421      -7.980       0.068       4.504       0.077
Gaia DR3 5591749554823525248 112.6262026 -33.3448385 19.676  3.264       2.396   2.1246  27.7001    18.66      nan      nan    2.482  nan      nan    nan   1.125     nan                                None      -8.014       4.496      -9.260       0.362       4.636       0.484
Gaia DR3 5604468464813327872 106.0778361 -31.7679229 18.494  3.332       0.794   4.0570  27.7010    20.26      nan      nan    2.692  nan      nan    nan   0.993     nan                                None      -7.321       5.065      -7.769       0.131       5.109       0.143
Gaia DR3 5589988519451541760 111.4762393 -35.2088278 18.699  3.257       1.071   1.6767  27.7843    18.62      nan      nan    2.472  nan      nan    nan   1.065     nan                                None      -7.766       4.882      -8.275       0.157       5.111       0.171
Gaia DR3 5588002732733781376 114.5594926 -36.0403864 13.570  1.158       2.013   4.1729  27.8560    17.81      nan      nan    2.617  nan      nan    nan   1.086     nan                                None      -8.825       5.049      -9.600       0.012       4.254       0.013
Gaia DR3 5592658747859652352 110.2987737 -32.9695882 18.542  3.123       1.001   0.9587  27.8756    19.22      nan      nan    2.840  nan      nan    nan   1.073     nan                                None      -8.669       5.269      -8.495       0.126       4.695       0.139
Gaia DR3 5592047247597121024 114.3633845 -32.5265459 17.356  3.032       0.599   3.7747  27.8812    18.38      nan      nan    2.558  nan      nan    nan   1.032     nan                                None      -8.589       4.353      -8.903       0.069       4.431       0.081
Gaia DR3 5605532276678379648 111.4554101 -29.8427601 19.257  3.208       1.244   4.2228  27.9288    19.42      nan      nan    2.644  nan      nan    nan   0.988     nan                                None      -8.303       4.230      -8.411       0.239       4.915       0.234
Gaia DR3 5598346487152795520 114.1670160 -31.3977111 20.144  2.570       2.910   4.2059  27.9451    18.58      nan      nan    2.625  nan      nan    nan   1.070     nan                                None      -8.775       4.281      -9.707       0.351       5.594       0.432
Gaia DR3 5604511487505885952 106.5163201 -31.2936263 17.935  2.610       2.748   4.0473  27.9480    20.25      nan      nan    2.588  nan      nan    nan   0.982     nan                                None      -7.129       4.750      -8.199       0.087       5.801       0.108
Gaia DR3 5589044893656480384 109.3996992 -38.0042270 19.024  2.857       1.790   4.1292  27.9570    18.55      nan      nan    2.602  nan      nan    nan   1.020     nan                                None      -7.762       5.811      -6.898       0.173       6.278       0.202
Gaia DR3 5589714668036250112 112.1532547 -35.7136761  9.407  0.138       1.081   2.4204  27.9750    18.39      nan      nan    2.809  nan      nan    nan   0.969     nan                                None      -8.970       5.584      -8.532       0.015       5.117       0.019
Gaia DR3 5589209103145039104 109.9463814 -37.0486436 16.410  2.816       1.174   3.1316  28.0281    18.62      nan      nan    2.779  nan      nan    nan   1.459     nan                                None      -8.407       5.975      -9.077       0.057       5.822       0.066
Gaia DR3 5592562166937070976 111.3963145 -32.9264359 17.848  2.738       1.006   1.4278  28.0656    18.99      nan      nan    2.466  nan      nan    nan   0.988     nan                                None      -7.732       4.487      -8.244       0.085       4.382       0.091
Gaia DR3 5579578064180069120 105.0834477 -34.4054764 17.664  3.331       1.531   4.2363  28.0778    20.01      nan      nan    2.631  nan      nan    nan   0.923     nan                                None      -6.942       5.532      -6.200       0.086       5.945       0.099
Gaia DR3 5593133874321988736 112.9521275 -31.3563103 17.829  2.549       2.478   3.4741  28.1004    18.87      nan      nan    2.759  nan      nan    nan   0.950     nan                                None      -8.976       4.592     -10.363       0.091       4.198       0.106
Gaia DR3 5588178688955843456 113.5318644 -35.6622752 17.212  2.376       2.451   3.2628  28.1262    18.10      nan      nan    2.773  nan      nan    nan   1.054     nan                                None      -9.140       5.377     -10.516       0.066       5.773       0.071
Gaia DR3 5592747602150991616 110.5327674 -32.4089835 17.867  3.007       2.944   1.5434  28.1407    19.26      nan      nan    2.467  nan      nan    nan   1.737     nan                                None      -7.574       4.462      -8.412       0.203       5.743       0.234
Gaia DR3 5593217785105781248 111.7890371 -31.5786233 15.994  2.376       1.822   2.7103  28.1417    19.10      nan      nan    2.497  nan      nan    nan   1.033     nan                                None      -7.904       4.278      -8.454       0.033       5.064       0.039
Gaia DR3 5589971610159577216 110.8999130 -35.3902304 19.109  2.936       1.667   1.5858  28.1784    18.71      nan      nan    2.467  nan      nan    nan   1.035     nan                                None      -7.645       4.949      -8.176       0.243       5.635       0.257
Gaia DR3 5592893184357981824 111.0697959 -31.7232122 18.867  3.139       0.947   2.3253  28.1949    19.24      nan      nan    2.484  nan      nan    nan   1.056     nan                                None      -7.728       4.333      -7.911       0.160       4.794       0.174
Gaia DR3 5578464125761598848 106.6920813 -35.5646746 11.158  0.681       1.157   3.2961  28.2277    19.51      nan      nan    2.522  nan      nan    nan   0.896     nan                                None      -6.981       5.405      -6.368       0.013       5.451       0.015
Gaia DR3 5606016577189252608 108.8994810 -30.3770344 19.621  2.903       1.529   3.7049  28.2946    19.90      nan      nan    2.547  nan      nan    nan   1.100     nan                                None      -7.497       4.347      -7.038       0.285       5.028       0.364
Gaia DR3 5588063137154970240 114.4064398 -35.7275829 12.181  0.766       0.409   3.9175  28.3336    17.89      nan      nan    2.565  nan      nan    nan   0.915     nan                                None      -8.619       4.909      -8.401       0.010       4.876       0.011
Gaia DR3 5602803980306654080 106.7445718 -34.3408764 14.329  1.360       1.935   2.8663  28.4127    19.71      nan      nan    2.500  nan      nan    nan   0.979     nan                                None      -6.933       5.134      -6.037       0.015       5.623       0.016
Gaia DR3 5593469951230150656 112.4417607 -30.0802176 16.858  2.581       1.417   4.2975  28.4220    19.16      nan      nan    2.644  nan      nan    nan   0.976     nan                                None      -8.499       4.202      -9.193       0.051       4.578       0.063
Gaia DR3 5588100554910598784 114.8531794 -35.2682750 17.547  2.890       2.329   4.0825  28.4785    17.86      nan      nan    2.581  nan      nan    nan   1.017     nan                                None      -8.759       4.823      -9.871       0.074       4.214       0.083
Gaia DR3 5588068394194840448 114.4789734 -35.6023965 17.041  2.686       1.038   3.9176  28.4792    17.89      nan      nan    2.563  nan      nan    nan   0.989     nan                                None      -8.625       4.877      -9.186       0.054       4.879       0.064
Gaia DR3 5592731113770124800 109.9632704 -32.5249569 17.476  2.716       1.270   1.4081  28.5443    19.36      nan      nan    2.462  nan      nan    nan   0.985     nan                                None      -7.451       4.513      -7.910       0.065       4.987       0.082
Gaia DR3 5593011729755869696 112.2130860 -31.8483765  6.377 -0.236       1.947   2.6913  28.6017    18.97      nan      nan    2.805  nan      nan    nan   0.996     nan                                None      -8.971       4.826     -10.028       0.040       4.369       0.040
Gaia DR3 5606096875892980736 108.6901185 -29.8133341 13.495  0.961       1.329   4.2968  28.6753    20.02      nan      nan    2.617  nan      nan    nan   0.963     nan                                None      -7.662       4.373      -7.562       0.012       3.646       0.015
Gaia DR3 5603251271081886848 109.2682497 -32.5235304 17.592  2.835       2.758   1.5894  28.6848    19.51      nan      nan    2.464  nan      nan    nan   0.996     nan                                None      -7.324       4.565      -6.602       0.075       5.803       0.087
Gaia DR3 5587995925202424320 114.7431144 -36.0528458 12.132  0.757       1.239   4.3090  28.6995    17.76      nan      nan    2.668  nan      nan    nan   1.001     nan                                None      -9.031       5.132      -9.427       0.012       4.559       0.014
Gaia DR3 5588155629266707584 113.1095204 -35.8018566 18.573  2.718       1.338   3.0573  28.7061    18.17      nan      nan    2.506  nan      nan    nan   0.933     nan                                None      -8.180       4.917      -8.200       0.143       5.623       0.178
Gaia DR3 5588114882921600384 114.6556994 -35.2248244 16.591  2.509       2.129   3.9157  28.7217    17.91      nan      nan    2.732  nan      nan    nan   1.017     nan                                None      -9.231       5.115     -10.236       0.042       4.412       0.046
Gaia DR3 5591783850143616896 113.9049891 -34.0933235 18.933  3.134       2.453   3.1004  28.7289    18.26      nan      nan    2.789  nan      nan    nan   1.062     nan                                None      -9.268       5.080     -10.613       0.177       4.560       0.191
Gaia DR3 5591591568744980224 111.4160460 -34.2041044 17.907  2.919       1.273   1.0697  28.7301    18.79      nan      nan    2.457  nan      nan    nan   1.014     nan                                None      -7.708       4.687      -7.459       0.095       5.298       0.114
Gaia DR3 5602683961740954624 107.9737477 -34.0308757 13.007  1.231       1.726   1.8248  28.8488    19.53      nan      nan    2.467  nan      nan    nan   1.593     nan                                None      -7.083       4.928      -6.449       0.020       5.563       0.020
Gaia DR3 5602948634806032640 107.3085586 -33.5663009 16.048  2.175       0.605   2.4061  28.8696    19.73      nan      nan    2.818  nan      nan    nan   1.005     nan                                None      -7.941       5.585      -7.699       0.030       5.319       0.037
Gaia DR3 5591709804906748672 112.8402163 -33.2687204 15.928  2.284       1.017   2.3178  28.9700    18.62      nan      nan    2.822  nan      nan    nan   1.006     nan                                None      -9.156       5.078      -9.753       0.032       4.979       0.035
Gaia DR3 5588427483520091648 115.0106523 -35.3173807 12.949  0.974       2.851   4.2199  29.0017    17.82      nan      nan    2.590  nan      nan    nan   1.303     nan                                None      -8.816       4.832      -9.699       0.017       6.114       0.019
Gaia DR3 5592928098151058816 112.4158419 -32.4484175 17.280  2.951       1.004   2.3882  29.0045    18.84      nan      nan    2.820  nan      nan    nan   2.337     nan                                None      -9.060       4.951      -9.474       0.133       5.381       0.149
Gaia DR3 5591844525143255936 114.3055520 -33.3938614 19.986  3.168       1.952   3.4820  29.0597    18.27      nan      nan    2.771  nan      nan    nan   1.073     nan                                None      -9.291       4.882      -8.203       0.413       4.543       0.413
Gaia DR3 5588039119697213952 114.8704394 -35.6094934 16.017  1.935       2.481   4.2129  29.0765    17.80      nan      nan    2.703  nan      nan    nan   1.037     nan                                None      -9.175       5.109      -7.803       0.033       5.452       0.037
Gaia DR3 5588641510326733824 115.4623735 -34.0801112 18.779  3.016       1.644   4.3895  29.0831    17.90      nan      nan    2.657  nan      nan    nan   0.998     nan                                None      -9.131       4.701      -8.279       0.137       4.352       0.156
Gaia DR3 5605133055176112512 109.1705678 -30.9622136 14.733  1.606       0.305   3.0780  29.1202    19.76      nan      nan    2.794  nan      nan    nan   1.000     nan                                None      -8.283       4.868      -8.382       0.016       5.018       0.019
Gaia DR3 5588696799444378624 114.8973597 -34.6527098 19.894    nan       2.864   3.9728  29.1500    17.94      nan      nan    2.734  nan      nan    nan   0.910     nan                                None      -9.285       4.993      -7.718       0.319       5.511       0.652
Gaia DR3 5586321201497010560 113.2156130 -37.4359467 17.829  2.915       1.051   4.2964  29.1983    17.87      nan      nan    2.692  nan      nan    nan   0.963     nan                                None      -8.810       5.565      -8.571       0.085       5.018       0.092
Gaia DR3 5588349078889344384 113.6432813 -34.9001857 15.282  1.892       1.888   3.0272  29.2202    18.19      nan      nan    2.797  nan      nan    nan   1.055     nan                                None      -9.243       5.271     -10.103       0.025       4.563       0.026
Gaia DR3 5588514280520532224 115.2477570 -34.8335942 19.901  2.984       1.266   4.2879  29.2259    17.84      nan      nan    2.595  nan      nan    nan   1.081     nan                                None      -8.880       4.740      -8.835       0.396       5.431       0.440
Gaia DR3 5588929857254434816 114.9554177 -33.2928153 19.288  3.371       1.799   4.0342  29.2280    18.13      nan      nan    2.562  nan      nan    nan   1.078     nan                                None      -8.713       4.443      -7.787       0.237       4.147       0.275
Gaia DR3 5604639099573553152 107.2979358 -30.6695896 17.307  2.831       2.122   4.0586  29.2363    20.19      nan      nan    2.727  nan      nan    nan   0.996     nan                                None      -7.681       4.824      -6.784       0.061       5.650       0.071
Gaia DR3 5587867973837543168 113.8681583 -36.7452277 19.981  2.968       1.956   4.1307  29.2477    17.85      nan      nan    2.718  nan      nan    nan   1.068     nan                                None      -9.028       5.435      -8.602       0.388       4.398       0.495
Gaia DR3 5590084005164740352 110.9090522 -34.4555210 17.506  2.892       1.244   0.8109  29.2655    18.86      nan      nan    2.853  nan      nan    nan   1.092     nan                                None      -8.842       5.538      -9.399       0.089       5.038       0.084
Gaia DR3 5578380489860819072 105.5522605 -36.2206753 18.600  3.506       1.879   4.4228  29.3059    19.60      nan      nan    2.632  nan      nan    nan   1.072     nan                                None      -7.044       5.848      -6.019       0.150       5.663       0.207
Gaia DR3 5587232039506266752 114.6877865 -36.3445535 17.575  2.973       0.940   4.4168  29.3073    17.73      nan      nan    2.661  nan      nan    nan   0.985     nan                                None      -8.997       5.175      -9.430       0.077       4.873       0.081
Gaia DR3 5591913725656362624 113.7390378 -32.9912341 19.212  3.066       1.451   3.1193  29.3525    18.46      nan      nan    2.503  nan      nan    nan   1.056     nan                                None      -8.287       4.386      -8.901       0.227       3.929       0.236
Gaia DR3 5592035088552697344 114.5906889 -32.5726931 11.252  0.553       1.914   3.9349  29.3585    18.32      nan      nan    2.551  nan      nan    nan   0.918     nan                                None      -8.607       4.330      -9.596       0.014       4.042       0.015
Gaia DR3 5588109896455348608 114.3295836 -35.3539666 18.940  3.101       1.668   3.7090  29.3765    17.97      nan      nan    2.760  nan      nan    nan   0.983     nan                                None      -9.259       5.221     -10.206       0.181       5.008       0.238
Gaia DR3 5590916984003982976 110.4347225 -33.8570742 19.547  3.160       1.302   0.2289  29.3823    19.05      nan      nan    2.858  nan      nan    nan   1.086     nan                                None      -8.752       5.468      -9.489       0.271       5.199       0.303
Gaia DR3 5606490024326160128 109.3788212 -29.5315873 16.776  2.514       0.941   4.4420  29.3832    19.91      nan      nan    2.640  nan      nan    nan   1.038     nan                                None      -7.869       4.309      -7.814       0.046       4.830       0.048
Gaia DR3 5592826595182606080 111.3113943 -32.0459452 17.881  2.912       0.964   2.1063  29.3860    19.14      nan      nan    2.470  nan      nan    nan   1.000     nan                                None      -7.730       4.348      -7.980       0.090       4.783       0.097
Gaia DR3 5592543509595440128 111.9456022 -32.7946978 19.869  1.507       2.225   1.8627  29.3934    18.89      nan      nan    2.464  nan      nan    nan   1.065     nan                                None      -7.831       4.422      -6.744       0.372       4.030       0.444
Gaia DR3 5604874463781054336 110.4980886 -31.8770881 19.368  1.565       1.090   2.0637  29.4047    19.34      nan      nan    2.833  nan      nan    nan   1.243     nan                                None      -8.690       5.019      -8.321       0.296       4.483       0.315
Gaia DR3 5590636715913979904 108.4650675 -34.5126402 16.684  2.523       1.098   1.5287  29.4278    19.35      nan      nan    2.845  nan      nan    nan   1.064     nan                                None      -8.277       5.740      -8.861       0.044       5.435       0.055
Gaia DR3 5592355317010744576 111.2774673 -33.9375988 19.895  2.965       1.896   0.9187  29.4462    18.86      nan      nan    2.854  nan      nan    nan   0.980     nan                                None      -8.924       5.404      -9.689       0.370       4.559       0.402
Gaia DR3 5606436143950349440 109.8541926 -29.4954054 19.186  2.515       1.802   4.4351  29.4604    19.82      nan      nan    2.664  nan      nan    nan   1.070     nan                                None      -8.040       4.309      -9.029       0.209       4.096       0.246
Gaia DR3 5588017777996047360 114.9901573 -35.9888828 12.215  0.763       1.021   4.4573  29.4790    17.72      nan      nan    2.642  nan      nan    nan   0.900     nan                                None      -8.990       5.048      -8.703       0.009       4.557       0.012
Gaia DR3 5586601950617277184 112.5499074 -36.6927200 19.159  3.025       1.540   3.3829  29.5325    18.14      nan      nan    2.513  nan      nan    nan   1.022     nan                                None      -8.101       5.129      -7.286       0.203       5.094       0.242
Gaia DR3 5604867179521200000 109.5605224 -31.6014300 16.748  2.545       1.171   2.3769  29.5367    19.58      nan      nan    2.825  nan      nan    nan   1.070     nan                                None      -8.462       5.024      -7.791       0.047       5.213       0.062
Gaia DR3 5603694511705810432 105.0337294 -33.5261090 19.825  2.678       2.122   4.2902  29.5523    20.17      nan      nan    2.587  nan      nan    nan   1.053     nan                                None      -6.817       5.275      -7.476       0.438       6.227       0.394
Gaia DR3 5588842033759996160 115.5092711 -33.8206935 18.311  3.127       2.335   4.4335  29.6150    17.92      nan      nan    2.616  nan      nan    nan   1.014     nan                                None      -8.998       4.579     -10.156       0.121       4.015       0.129
Gaia DR3 5588521835363276672 115.5217748 -34.6249943 19.697  2.831       2.289   4.4770  29.6209    17.80      nan      nan    2.651  nan      nan    nan   0.961     nan                                None      -9.122       4.780      -8.394       0.251       3.729       0.314
Gaia DR3 5588720645107224832 114.5772386 -34.2724808 12.132  0.950       0.230   3.6657  29.6437    18.08      nan      nan    2.528  nan      nan    nan  13.913     nan                                None      -8.527       4.580      -8.647       0.141       4.603       0.141
Gaia DR3 5590841564373998720 110.9560247 -34.3138980 12.032  0.735       0.867   0.7592  29.6444    18.87      nan      nan    2.448  nan      nan    nan   0.885     nan                                None      -7.596       4.724      -7.421       0.008       4.313       0.010
Gaia DR3 5588509190973821824 114.9626657 -34.6640200 12.817  0.917       0.952   4.0276  29.7267    17.93      nan      nan    2.739  nan      nan    nan   0.996     nan                                None      -9.313       4.997      -9.723       0.011       4.631       0.014
Gaia DR3 5588525889811946240 115.5365764 -34.5037543 17.556  2.915       1.298   4.4749  29.7268    17.82      nan      nan    2.625  nan      nan    nan   0.927     nan                                None      -9.036       4.711      -9.590       0.072       4.254       0.084
Gaia DR3 5593319696092395648 111.6878137 -30.9563327 17.687  2.925       1.113   3.2305  29.7298    19.21      nan      nan    2.793  nan      nan    nan   0.989     nan                                None      -8.822       4.672      -9.459       0.073       4.826       0.084
Gaia DR3 5587229982219280768 114.6861781 -36.4951873 13.305  1.010       1.935   4.4972  29.7798    17.70      nan      nan    2.634  nan      nan    nan   1.045     nan                                None      -8.905       5.148      -7.839       0.012       5.013       0.012
Gaia DR3 5587942912429914752 113.4703975 -36.2471407 18.235  2.311       2.164   3.5628  29.8045    18.02      nan      nan    2.775  nan      nan    nan   1.187     nan                                None      -9.135       5.495      -8.376       0.150       4.482       0.159
Gaia DR3 5593008912257308928 112.2325453 -31.8411283 13.577  1.162       0.484   2.7073  29.8117    18.97      nan      nan    2.817  nan      nan    nan   1.093     nan                                None      -9.011       4.842      -9.271       0.011       4.965       0.012
Gaia DR3 5606061077349820800 109.4488453 -29.8175612 12.378  0.802       0.685   4.1502  29.8634    19.86      nan      nan    2.728  nan      nan    nan   0.926     nan                                None      -8.148       4.506      -8.392       0.008       4.815       0.010
Gaia DR3 5606046818058654080 109.4316079 -29.9451312 12.984  0.968       1.389   4.0263  29.8729    19.85      nan      nan    2.741  nan      nan    nan   1.740     nan                                None      -8.183       4.554      -8.889       0.023       4.173       0.027
Gaia DR3 5606105401413960576 109.0640006 -29.8255174 17.405  2.872       1.047   4.2031  29.8882    19.94      nan      nan    2.723  nan      nan    nan   1.043     nan                                None      -8.049       4.525      -8.485       0.063       4.939       0.071
Gaia DR3 5593008912250441472 112.2324389 -31.8414789 17.312    nan       2.043   2.7070  29.8905    18.97      nan      nan    2.817  nan      nan    nan   1.220     nan                                None      -9.014       4.844      -9.578       0.150       5.918       0.112
Gaia DR3 5566051395397996928 107.3788736 -37.5136152 12.786  1.029       1.448   4.2461  29.9354    19.03      nan      nan    2.573  nan      nan    nan   1.053     nan                                None      -7.266       5.820      -6.950       0.013       6.539       0.014
Gaia DR3 5588725451167265792 114.8821715 -34.4584362 19.854  3.226       0.955   3.9338  29.9405    17.98      nan      nan    2.543  nan      nan    nan   0.971     nan                                None      -8.634       4.613      -8.460       0.308       4.131       0.313
