target,n_rows_in_csv,n_valid_3d,n_inner_lt_30pc,n_outer_40_70pc,inner_density,outer_density,density_ratio,raw_score,adjusted_score,score_gap,score_retention,inner_weight,outer_weight,confidence_weight,score_status,csv_path
HD_20329,105,105,35,23,0.00030946794490090764,1.9680449952223617e-05,15.724637681159422,0.940207972270364,0.5096750287391536,0.4305329435312104,0.5420875420875422,0.7777777777777778,0.696969696969697,0.5420875420875422,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_20329.csv
GPX-1,4604,4604,209,1906,0.0018479657281225627,0.0016309103308234005,1.1330884924798883,0.531196195785849,0.5042948336433306,0.02690136214251837,0.9493570128025473,0.954337899543379,0.9947807933194155,0.9493570128025473,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\GPX-1.csv
TOI-6016,4396,4396,208,1900,0.0018391237868396796,0.0016257763004010814,1.1312280701754387,0.5307869608165954,0.5037874223418957,0.026999538474699714,0.9491330035064125,0.9541284403669725,0.9947643979057592,0.9491330035064125,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-6016.csv
K2-179,1953,1953,85,684,0.0007515650090450614,0.0005852794681443893,1.28411306042885,0.5621933006187327,0.4957670028511014,0.06642629776763131,0.8818443804034581,0.8947368421052632,0.9855907780979827,0.8818443804034581,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-179.csv
TOI-4638,3106,3106,137,1239,0.0012113459557549814,0.0010601772822089158,1.1425881086898038,0.5332747363134104,0.4930183796890423,0.040256356624368106,0.9245110374013498,0.9319727891156463,0.9919935948759008,0.9245110374013498,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-4638.csv
TOI-4010,5106,5106,187,1778,0.0016534430198991352,0.001521384348480591,1.086801649793776,0.5207977719881413,0.4915964524274893,0.029201319560651973,0.9439296380835576,0.949238578680203,0.9944071588366891,0.9439296380835576,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-4010.csv
TOI-451,3483,3483,151,1396,0.0013351331337153444,0.0011945177449262682,1.1177172874880612,0.5277934378171159,0.4914905309017112,0.036302906915404665,0.9312175856798283,0.937888198757764,0.9928876244665719,0.9312175856798283,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-451.csv
TOI-4184,115,115,24,56,0.00021220659078919382,4.791761727497924e-05,4.42857142857143,0.8157894736842105,0.48860118209963416,0.32718829158457635,0.5989304812834225,0.7058823529411765,0.8484848484848485,0.5989304812834225,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-4184.csv
K2-384,406,406,45,288,0.0003978873577297384,0.0002464334602713218,1.6145833333333335,0.6175298804780877,0.48829696467333844,0.12923291580474922,0.790726052471019,0.8181818181818182,0.9664429530201343,0.790726052471019,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-384.csv
K2-89,781,781,73,585,0.0006454617136504645,0.0005005679661761224,1.2894586894586897,0.5632155301144849,0.4870328888030591,0.07618264131142577,0.8647362559481623,0.8795180722891566,0.9831932773109243,0.8647362559481623,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-89.csv
K2-178,4565,4565,187,1827,0.0016534430198991352,0.0015633122635961977,1.0576537128261267,0.5140095761659869,0.4852616622432106,0.028747913922776258,0.9440712483662117,0.949238578680203,0.994556341861731,0.9440712483662117,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-178.csv
K2-29,6831,6831,285,2907,0.0025199532656216763,0.0024874377396136545,1.0130718954248366,0.5032467532467532,0.4845208030437224,0.01872595020303075,0.9627897247578485,0.9661016949152542,0.9965718203633871,0.9627897247578485,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-29.csv
K2-394,3805,3805,298,3082,0.0026348985022991564,0.0026371802935979648,0.9991347609777201,0.4997835966241074,0.4819929597842134,0.01779063683989396,0.9644033198366962,0.9675324675324676,0.9967658473479948,0.9644033198366962,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-394.csv
K2-149,2365,2365,106,981,0.000937245775985606,0.00083941397404919,1.1165477404009516,0.5275325092310162,0.477191234079965,0.050341275151051246,0.9045721841400188,0.9137931034482759,0.9899091826437941,0.9045721841400188,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-149.csv
TOI-5344,5252,5252,205,2100,0.0018125979629910304,0.0017969106478117215,1.008730158730159,0.5021730541288029,0.4765468969523854,0.025626157176417474,0.9489694698556156,0.9534883720930233,0.995260663507109,0.9489694698556156,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-5344.csv
TOI-6038_A,3103,3103,117,1112,0.00103450713009732,0.0009515069716031592,1.0872302158273384,0.5208961654459285,0.47560370758893067,0.04529245785699787,0.9130489704829677,0.9212598425196851,0.9910873440285205,0.9130489704829677,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-6038_A.csv
K2-88,1575,1575,97,907,0.0008576683044396583,0.0007760942655072531,1.105108416023521,0.5249650837988827,0.4707131453392504,0.05425193845963233,0.8966561012647908,0.9065420560747663,0.9890948745910578,0.8966561012647908,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-88.csv
TOI-6651,2573,2573,101,956,0.0008930360695711907,0.0008180221806228599,1.0917015341701535,0.5219203200533423,0.4699843174516491,0.05193600260169323,0.9004905526644658,0.9099099099099099,0.989648033126294,0.9004905526644658,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-6651.csv
KELT-1,3555,3555,139,1401,0.0012290298383207474,0.0011987961036115343,1.025220080894599,0.5062265037593985,0.4689046424098359,0.03732186134956256,0.9262743829641503,0.9328859060402684,0.9929128277817151,0.9262743829641503,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\KELT-1.csv
K2-30,2214,2214,91,854,0.0008046166567423599,0.0007307436634434334,1.1010928961748636,0.5240572171651496,0.46670542921218877,0.057351787952960864,0.8905619728639531,0.900990099009901,0.9884259259259259,0.8905619728639531,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-30.csv
